,exog,endog,probabilities
41085,"[0, 0, 18, 0, 5, 29, 1, 28, 17, 27, 32, 24, 10, 30, 19, 22, 8, 17, 29, 27, 18, 32, 2]",1,0.35517776
24378,"[0, 1, 17, 0, 15, 30, 9, 33, 19, 6, 18, 2, 5, 25, 5, 0, 22, 31, 7, 10, 24, 18]",0,0.35140124
26679,"[0, 1, 16, 0, 13, 29, 31, 27, 33, 4, 24, 8, 21, 15, 17, 30, 20, 5, 30, 18, 19]",1,0.34907845
26598,"[0, 0, 17, 0, 8, 28, 31, 6, 23, 10, 33, 1, 19, 22, 1, 11, 19, 27, 25, 11, 10, 26]",0,0.34639525
575,"[0, 0, 18, 0, 0, 30, 33, 30, 27, 32, 7, 22, 27, 7, 10, 11, 11, 3, 29, 16, 16, 18, 15]",1,0.33965737
12313,"[0, 0, 17, 0, 19, 28, 30, 0, 33, 6, 7, 22, 4, 10, 7, 18, 29, 9, 11, 28, 10, 15]",1,0.33585012
37781,"[1, 0, 17, 0, 31, 27, 15, 10, 29, 9, 12, 15, 30, 29, 24, 14, 26, 17, 18, 11, 23, 6]",0,0.33582196
27795,"[0, 1, 17, 0, 0, 30, 28, 8, 19, 9, 31, 27, 5, 21, 6, 18, 19, 10, 21, 9, 0, 24]",1,0.33509803
5272,"[1, 0, 17, 0, 30, 18, 27, 28, 10, 31, 21, 25, 22, 16, 15, 24, 27, 28, 29, 1, 0, 12]",0,0.33484736
21041,"[0, 0, 18, 0, 3, 9, 17, 26, 26, 17, 0, 6, 7, 8, 29, 6, 19, 15, 1, 31, 18, 22, 3]",1,0.33264476
20074,"[1, 1, 17, 0, 5, 28, 33, 32, 30, 26, 22, 31, 25, 31, 11, 11, 3, 25, 15, 26, 25, 5]",0,0.32612577
41486,"[0, 0, 17, 0, 12, 30, 7, 24, 20, 0, 8, 2, 2, 26, 30, 31, 2, 5, 33, 4, 29, 9]",0,0.32595307
11907,"[1, 0, 17, 0, 29, 32, 7, 9, 33, 28, 26, 5, 19, 23, 17, 2, 8, 29, 24, 10, 13, 25]",0,0.31999257
26401,"[0, 0, 16, 0, 30, 18, 10, 24, 23, 24, 13, 17, 12, 21, 25, 10, 25, 16, 11, 28, 12]",0,0.30432785
433,"[1, 1, 16, 0, 22, 28, 9, 17, 29, 22, 20, 33, 17, 15, 6, 8, 32, 3, 24, 27, 11]",1,0.3036955
19030,"[1, 0, 18, 0, 1, 29, 32, 31, 30, 17, 21, 30, 10, 20, 8, 8, 24, 3, 1, 18, 29, 11, 7]",1,0.3025101
21951,"[1, 0, 18, 0, 2, 0, 29, 33, 28, 27, 15, 15, 6, 23, 9, 6, 17, 26, 14, 26, 27, 8, 32]",0,0.29825684
11105,"[1, 1, 18, 0, 16, 29, 32, 33, 28, 31, 28, 5, 4, 16, 21, 26, 6, 5, 8, 0, 2, 7, 19]",1,0.29460564
1233,"[1, 1, 18, 1, 10, 30, 18, 33, 8, 32, 31, 0, 26, 1, 10, 19, 19, 13, 14, 24, 23, 21, 21]",0,0.2922356
39925,"[0, 1, 16, 0, 18, 29, 28, 31, 32, 33, 25, 7, 32, 11, 15, 10, 5, 22, 25, 9, 17]",0,0.2915306
19047,"[1, 0, 17, 0, 29, 26, 0, 2, 9, 10, 33, 33, 18, 2, 29, 15, 13, 12, 12, 11, 16, 16]",0,0.2879507
40102,"[0, 1, 12, 0, 10, 29, 31, 19, 18, 32, 8, 5, 3, 10, 17, 23, 13]",0,0.28421527
3413,"[1, 0, 17, 0, 31, 27, 30, 31, 7, 17, 29, 19, 11, 32, 32, 19, 10, 22, 24, 24, 19, 33]",0,0.27345544
38225,"[0, 0, 16, 0, 24, 28, 7, 9, 10, 16, 5, 2, 13, 16, 4, 2, 6, 31, 22, 12, 29]",0,0.2727671
38258,"[1, 0, 18, 0, 24, 29, 27, 31, 21, 14, 7, 27, 2, 15, 13, 1, 32, 21, 8, 28, 15, 33, 26]",1,0.2715831
13194,"[0, 1, 17, 0, 30, 30, 32, 31, 24, 25, 9, 11, 13, 27, 0, 0, 14, 10, 0, 3, 2, 28]",0,0.2707934
35624,"[1, 0, 17, 0, 16, 27, 9, 9, 28, 7, 32, 9, 31, 28, 20, 20, 20, 24, 4, 8, 22, 24]",0,0.26748812
38269,"[1, 0, 19, 1, 7, 26, 18, 9, 27, 17, 5, 13, 14, 10, 0, 20, 7, 32, 16, 22, 16, 28, 31, 3]",0,0.26247454
1956,"[1, 1, 18, 0, 11, 9, 0, 27, 9, 4, 32, 29, 20, 14, 32, 29, 30, 28, 2, 12, 22, 20, 12]",0,0.2619877
30460,"[0, 0, 17, 1, 3, 29, 27, 33, 12, 15, 19, 28, 30, 8, 4, 9, 27, 9, 11, 11, 13, 13]",0,0.26124135
15714,"[1, 0, 17, 1, 30, 18, 30, 0, 18, 17, 1, 28, 7, 33, 7, 8, 13, 12, 9, 13, 9, 27]",1,0.26081586
24530,"[1, 0, 18, 0, 14, 18, 31, 27, 1, 25, 13, 30, 19, 6, 1, 25, 21, 16, 12, 4, 22, 33, 16]",0,0.26044393
18515,"[1, 0, 16, 0, 25, 18, 29, 27, 32, 10, 12, 6, 24, 18, 20, 24, 10, 32, 0, 26, 13]",0,0.25033766
26760,"[0, 0, 17, 0, 11, 28, 32, 17, 18, 31, 29, 9, 6, 20, 19, 18, 32, 20, 28, 27, 22, 3]",1,0.2444432
15138,"[0, 0, 18, 1, 27, 0, 17, 32, 26, 25, 3, 14, 22, 0, 4, 28, 10, 9, 13, 11, 23, 29, 7]",1,0.2403973
40848,"[0, 0, 18, 1, 5, 28, 23, 14, 11, 18, 3, 14, 7, 33, 8, 19, 19, 29, 21, 30, 25, 30, 26]",0,0.23653448
27863,"[1, 1, 16, 0, 20, 29, 18, 9, 27, 27, 9, 31, 28, 33, 17, 10, 2, 6, 14, 11, 19]",0,0.23206039
1479,"[0, 1, 17, 0, 9, 29, 16, 7, 25, 2, 30, 10, 1, 9, 31, 24, 20, 22, 17, 14, 20, 11]",0,0.23200992
40845,"[0, 1, 18, 0, 25, 28, 29, 8, 33, 27, 29, 31, 4, 28, 4, 10, 15, 15, 7, 16, 12, 18, 13]",1,0.2316283
33112,"[0, 0, 17, 0, 33, 17, 9, 1, 9, 28, 11, 26, 20, 20, 32, 19, 19, 23, 22, 5, 8, 10]",1,0.22908427
17174,"[0, 0, 16, 0, 0, 28, 26, 9, 27, 33, 30, 16, 29, 19, 18, 30, 3, 3, 11, 20, 20]",0,0.22827525
5730,"[1, 0, 16, 0, 31, 27, 29, 1, 31, 12, 20, 19, 6, 0, 7, 1, 5, 29, 15, 6, 4]",0,0.22602452
25157,"[0, 0, 18, 0, 31, 7, 22, 20, 8, 4, 33, 28, 9, 6, 24, 17, 3, 9, 11, 13, 29, 6, 29]",0,0.22602308
29720,"[1, 0, 16, 0, 31, 30, 29, 16, 10, 7, 9, 9, 5, 24, 25, 27, 15, 17, 6, 33, 26]",0,0.22206536
498,"[1, 1, 17, 1, 29, 30, 28, 31, 7, 11, 31, 6, 15, 18, 24, 23, 32, 19, 32, 9, 0, 33]",0,0.21814808
11101,"[0, 0, 17, 0, 25, 30, 5, 24, 10, 30, 29, 8, 26, 17, 8, 4, 7, 15, 26, 14, 23, 23]",0,0.21786405
25680,"[0, 0, 17, 0, 30, 7, 26, 23, 31, 6, 9, 32, 14, 11, 11, 14, 15, 15, 16, 24, 10, 23]",1,0.2168265
39527,"[0, 0, 18, 0, 21, 29, 28, 25, 33, 14, 31, 19, 7, 8, 5, 11, 9, 6, 17, 32, 32, 3, 0]",0,0.21570642
20017,"[0, 0, 17, 0, 14, 8, 29, 1, 31, 16, 0, 31, 32, 16, 19, 5, 30, 30, 26, 12, 13, 3]",0,0.21505328
27861,"[0, 0, 17, 1, 2, 26, 29, 28, 8, 29, 16, 23, 10, 0, 31, 10, 23, 22, 21, 9, 24, 24]",1,0.21466687
8812,"[0, 0, 14, 0, 19, 30, 17, 31, 29, 33, 32, 21, 21, 10, 10, 32, 11, 13, 15]",0,0.21288443
38779,"[1, 0, 16, 0, 33, 31, 20, 8, 30, 25, 25, 22, 11, 22, 9, 33, 23, 27, 33, 17, 17]",0,0.21211421
1609,"[1, 0, 15, 0, 13, 9, 31, 17, 5, 5, 2, 6, 19, 5, 18, 22, 27, 26, 23, 25]",1,0.2096189
2365,"[0, 0, 17, 0, 30, 26, 17, 9, 27, 19, 11, 26, 33, 17, 29, 15, 25, 31, 3, 24, 30, 25]",0,0.20873703
30499,"[0, 1, 16, 0, 2, 17, 28, 32, 2, 31, 27, 18, 29, 20, 29, 0, 6, 33, 14, 25, 15]",0,0.20827442
35869,"[0, 1, 18, 0, 15, 28, 29, 33, 18, 19, 7, 20, 8, 5, 0, 24, 9, 7, 1, 14, 20, 15, 17]",1,0.20752251
33844,"[0, 0, 17, 0, 5, 0, 29, 11, 2, 18, 26, 23, 13, 5, 27, 2, 14, 24, 17, 32, 14, 19]",0,0.2070178
40900,"[0, 0, 17, 0, 4, 8, 27, 19, 32, 18, 27, 18, 28, 7, 7, 6, 23, 26, 25, 10, 26, 8]",0,0.20636544
4128,"[1, 0, 17, 0, 26, 29, 27, 31, 30, 0, 1, 12, 25, 16, 19, 9, 15, 23, 16, 17, 5, 7]",0,0.20333278
10579,"[0, 0, 13, 0, 22, 28, 31, 7, 32, 32, 26, 12, 7, 12, 25, 17, 6, 11]",0,0.20243679
24126,"[0, 0, 17, 0, 10, 28, 27, 31, 29, 26, 0, 14, 25, 22, 5, 9, 19, 23, 7, 32, 23, 1]",1,0.20215291
3712,"[0, 0, 16, 0, 21, 30, 27, 0, 18, 24, 25, 9, 9, 11, 1, 12, 8, 27, 3, 22, 17]",0,0.20087282
34152,"[0, 0, 13, 0, 9, 18, 0, 33, 32, 21, 19, 5, 20, 2, 0, 30, 0, 1]",0,0.19959289
34446,"[0, 1, 17, 0, 18, 29, 17, 30, 32, 18, 27, 15, 15, 26, 30, 24, 11, 33, 31, 14, 15, 23]",1,0.19882098
7173,"[0, 0, 14, 0, 31, 28, 9, 29, 18, 27, 32, 16, 15, 13, 33, 23, 12, 3, 4]",0,0.19199459
312,"[1, 0, 17, 0, 29, 27, 26, 31, 2, 24, 9, 11, 11, 32, 15, 18, 18, 24, 7, 14, 25, 17]",0,0.18978623
13440,"[1, 0, 16, 0, 30, 29, 26, 17, 27, 31, 32, 0, 1, 10, 29, 23, 2, 9, 21, 8, 6]",0,0.1890386
1782,"[0, 0, 16, 0, 8, 18, 11, 24, 9, 0, 9, 18, 17, 6, 12, 9, 30, 15, 4, 28, 11]",0,0.1867919
18224,"[0, 0, 16, 0, 21, 31, 19, 29, 7, 26, 25, 5, 19, 11, 2, 23, 20, 14, 32, 27, 25]",0,0.18651146
34822,"[1, 0, 16, 0, 27, 8, 30, 6, 7, 31, 16, 1, 30, 24, 26, 27, 5, 3, 16, 1, 17]",0,0.18378897
30027,"[0, 1, 16, 0, 33, 1, 3, 19, 21, 29, 23, 24, 0, 28, 2, 3, 0, 30, 30, 5, 10]",0,0.18356934
21622,"[0, 0, 17, 0, 20, 28, 27, 30, 29, 25, 17, 5, 7, 0, 6, 1, 4, 15, 18, 33, 33, 3]",0,0.18270114
29724,"[1, 0, 18, 0, 7, 28, 25, 23, 0, 32, 22, 28, 0, 3, 20, 20, 19, 16, 29, 20, 33, 19, 31]",0,0.18194059
26904,"[0, 0, 16, 0, 27, 9, 30, 31, 33, 8, 7, 27, 26, 23, 4, 7, 5, 30, 15, 5, 19]",0,0.17984913
17647,"[0, 1, 16, 0, 15, 28, 29, 8, 17, 32, 27, 26, 30, 30, 12, 10, 20, 28, 32, 18, 24]",0,0.17932075
8591,"[1, 1, 17, 0, 12, 26, 17, 8, 8, 22, 27, 19, 30, 30, 0, 25, 5, 2, 5, 20, 20, 2]",0,0.1787456
36797,"[1, 0, 17, 0, 19, 27, 17, 31, 15, 29, 6, 24, 12, 32, 4, 28, 2, 4, 4, 0, 0, 19]",0,0.17822027
3697,"[0, 0, 16, 0, 19, 27, 0, 31, 32, 31, 29, 21, 14, 17, 8, 25, 31, 5, 1, 21, 10]",0,0.17661175
4063,"[0, 0, 16, 0, 31, 26, 29, 23, 1, 0, 0, 17, 18, 7, 10, 20, 24, 24, 27, 14, 15]",0,0.17594059
4254,"[1, 0, 17, 1, 11, 30, 28, 32, 31, 9, 10, 21, 23, 7, 29, 29, 23, 6, 6, 21, 15, 19]",0,0.17552206
2331,"[0, 0, 15, 0, 28, 33, 32, 31, 25, 14, 32, 3, 15, 14, 18, 20, 20, 31, 30, 11]",0,0.17523989
9556,"[0, 0, 16, 0, 0, 30, 26, 33, 29, 18, 7, 11, 27, 22, 28, 19, 21, 21, 17, 15, 13]",0,0.17451067
23187,"[0, 0, 15, 0, 33, 30, 32, 33, 29, 5, 2, 24, 10, 25, 1, 21, 13, 28, 15, 10]",0,0.17381482
9743,"[0, 0, 17, 0, 5, 0, 1, 27, 32, 5, 14, 3, 15, 4, 27, 31, 33, 15, 9, 31, 19, 14]",1,0.17323796
10875,"[0, 0, 14, 0, 30, 30, 17, 32, 18, 28, 24, 14, 13, 0, 25, 14, 25, 13, 13]",0,0.17298888
212,"[1, 0, 17, 0, 2, 29, 9, 0, 27, 30, 25, 18, 17, 15, 18, 33, 15, 16, 10, 12, 26, 17]",0,0.17264758
5824,"[0, 0, 13, 0, 23, 28, 21, 30, 6, 29, 11, 9, 17, 16, 19, 5, 23, 15]",0,0.17228638
22889,"[1, 0, 16, 0, 16, 23, 24, 29, 32, 25, 8, 31, 11, 15, 17, 13, 5, 16, 22, 7, 31]",0,0.1719159
12169,"[0, 1, 16, 1, 31, 9, 23, 13, 24, 20, 16, 12, 33, 0, 29, 16, 28, 31, 31, 14, 0]",0,0.1718433
187,"[1, 0, 16, 0, 30, 17, 33, 10, 32, 32, 20, 1, 28, 13, 9, 9, 25, 21, 7, 11, 3]",1,0.17078069
8056,"[0, 0, 14, 0, 11, 28, 31, 31, 5, 1, 2, 0, 24, 4, 29, 11, 20, 32, 9]",1,0.1681851
29403,"[1, 0, 17, 0, 15, 18, 32, 0, 17, 11, 9, 33, 26, 1, 32, 13, 3, 8, 8, 29, 17, 8]",0,0.16816674
39700,"[0, 0, 16, 0, 29, 28, 33, 10, 13, 11, 8, 10, 12, 26, 28, 20, 26, 23, 30, 4, 15]",0,0.16719422
27721,"[1, 1, 19, 0, 15, 18, 29, 27, 2, 19, 1, 18, 25, 24, 22, 3, 23, 25, 11, 33, 23, 7, 4, 20]",0,0.16704638
3662,"[0, 0, 13, 0, 10, 18, 0, 30, 7, 28, 4, 12, 12, 16, 26, 7, 31, 13]",0,0.16686389
32570,"[0, 0, 16, 0, 15, 29, 31, 8, 24, 30, 3, 4, 25, 13, 2, 5, 2, 25, 26, 26, 1]",0,0.16661674
41487,"[1, 0, 16, 0, 15, 28, 28, 0, 11, 12, 8, 27, 23, 0, 17, 10, 30, 14, 29, 1, 18]",0,0.16639055
19263,"[0, 1, 16, 0, 31, 30, 9, 19, 14, 12, 14, 16, 32, 0, 24, 29, 24, 26, 25, 13, 20]",0,0.16416767
36658,"[1, 0, 15, 0, 30, 0, 19, 6, 3, 26, 25, 23, 31, 4, 10, 33, 2, 14, 18, 33]",0,0.16313072
42046,"[0, 1, 16, 0, 24, 29, 31, 14, 33, 21, 5, 12, 14, 32, 17, 7, 17, 33, 15, 13, 26]",0,0.16288246
4635,"[0, 0, 17, 0, 33, 28, 29, 18, 4, 17, 23, 23, 11, 8, 27, 26, 9, 1, 1, 27, 3, 22]",0,0.16266638
8084,"[0, 1, 17, 0, 9, 29, 33, 21, 8, 8, 0, 3, 2, 2, 3, 7, 7, 32, 31, 4, 5, 5]",0,0.16180293
23939,"[1, 0, 17, 0, 2, 29, 30, 27, 33, 26, 33, 28, 22, 11, 24, 24, 21, 13, 21, 18, 17, 29]",0,0.16076131
33898,"[0, 0, 12, 0, 31, 30, 27, 1, 23, 8, 10, 18, 20, 24, 26, 16, 12]",0,0.16033597
35784,"[0, 0, 15, 0, 23, 9, 30, 2, 32, 18, 7, 19, 26, 10, 5, 5, 29, 30, 10, 22]",1,0.15834415
2036,"[0, 1, 18, 0, 4, 9, 27, 30, 0, 8, 7, 20, 7, 24, 18, 16, 33, 0, 2, 2, 11, 6, 14]",1,0.15815982
41514,"[1, 0, 17, 1, 2, 0, 30, 17, 1, 7, 8, 2, 11, 9, 29, 23, 11, 5, 12, 12, 18, 27]",0,0.15712868
1848,"[1, 0, 12, 0, 31, 27, 31, 9, 10, 6, 10, 13, 22, 19, 26, 15, 0]",0,0.15650615
25849,"[1, 0, 16, 0, 0, 26, 25, 31, 18, 20, 13, 15, 17, 32, 13, 2, 30, 30, 18, 30, 11]",0,0.15623404
30314,"[0, 0, 15, 0, 0, 9, 28, 26, 27, 31, 33, 22, 5, 5, 0, 33, 24, 19, 18, 20]",0,0.15610625
4357,"[1, 0, 15, 0, 12, 0, 24, 19, 18, 21, 6, 30, 9, 22, 25, 8, 27, 29, 33, 30]",0,0.15450607
14261,"[1, 0, 16, 0, 19, 27, 18, 30, 24, 22, 10, 14, 12, 15, 8, 13, 21, 26, 29, 10, 1]",1,0.15414424
16058,"[0, 0, 14, 0, 5, 30, 31, 27, 3, 24, 12, 16, 17, 5, 18, 23, 33, 24, 31]",0,0.15395047
31278,"[0, 0, 12, 0, 16, 18, 30, 9, 18, 6, 24, 27, 21, 7, 19, 23, 30]",0,0.15343171
16302,"[0, 0, 15, 0, 12, 17, 8, 30, 27, 31, 0, 6, 3, 3, 1, 17, 26, 5, 5, 26]",0,0.15211368
180,"[0, 0, 16, 0, 28, 28, 18, 19, 8, 24, 4, 10, 10, 26, 22, 3, 32, 9, 23, 31, 20]",0,0.15135682
39160,"[0, 1, 15, 0, 8, 31, 31, 25, 23, 9, 24, 10, 15, 20, 6, 6, 1, 1, 8, 10]",0,0.14982711
20094,"[0, 0, 15, 0, 30, 29, 30, 32, 18, 13, 9, 30, 8, 21, 17, 33, 6, 14, 31, 0]",0,0.14872612
31709,"[0, 0, 17, 0, 23, 28, 7, 29, 19, 3, 5, 18, 16, 16, 14, 17, 21, 11, 25, 11, 33, 11]",0,0.14840615
23737,"[0, 0, 13, 0, 5, 18, 31, 0, 12, 17, 19, 21, 30, 32, 3, 0, 32, 28]",0,0.14835633
34564,"[0, 0, 15, 0, 17, 30, 27, 16, 28, 25, 25, 31, 17, 23, 12, 33, 32, 4, 3, 23]",1,0.14818145
15128,"[1, 0, 17, 0, 24, 27, 19, 7, 5, 3, 16, 16, 0, 20, 24, 21, 10, 22, 26, 21, 13, 9]",0,0.14739494
25443,"[1, 0, 17, 1, 6, 30, 30, 27, 29, 18, 0, 33, 28, 3, 16, 16, 26, 13, 13, 14, 3, 9]",0,0.14722544
35841,"[0, 0, 15, 0, 11, 27, 27, 33, 31, 28, 17, 20, 29, 24, 18, 23, 19, 19, 23, 11]",0,0.14715247
4288,"[0, 0, 16, 0, 22, 17, 10, 33, 32, 31, 24, 2, 27, 33, 27, 5, 7, 7, 13, 14, 26]",0,0.14686917
12803,"[0, 1, 16, 1, 12, 8, 29, 32, 0, 4, 16, 18, 17, 17, 9, 9, 21, 20, 20, 11, 7]",0,0.1460347
33133,"[0, 0, 16, 0, 12, 33, 25, 3, 15, 6, 31, 3, 10, 3, 8, 1, 10, 25, 19, 30, 20]",0,0.14602445
9322,"[1, 0, 14, 0, 21, 30, 32, 11, 5, 6, 19, 31, 5, 3, 27, 15, 28, 6, 23]",0,0.14578316
30891,"[0, 0, 15, 0, 25, 33, 31, 5, 7, 5, 33, 11, 8, 13, 9, 9, 29, 24, 3, 6]",0,0.14520438
12130,"[1, 0, 13, 0, 11, 18, 30, 17, 20, 9, 25, 4, 25, 26, 19, 16, 23, 3]",0,0.14499266
16021,"[1, 0, 15, 0, 7, 0, 33, 24, 18, 17, 26, 26, 2, 16, 9, 27, 23, 26, 5, 31]",0,0.14342716
40995,"[0, 1, 16, 0, 11, 30, 15, 20, 21, 16, 30, 28, 4, 24, 9, 9, 25, 2, 21, 31, 28]",0,0.14264701
20904,"[1, 0, 15, 0, 5, 0, 33, 8, 30, 20, 31, 6, 7, 3, 17, 11, 23, 11, 10, 11]",0,0.14237034
3305,"[0, 0, 16, 0, 21, 27, 33, 11, 7, 10, 5, 8, 17, 23, 4, 12, 8, 27, 12, 15, 9]",0,0.14206554
15397,"[0, 0, 15, 0, 18, 29, 17, 5, 23, 32, 24, 12, 16, 0, 0, 28, 26, 7, 3, 2]",0,0.1418241
27580,"[1, 0, 17, 1, 12, 8, 26, 16, 6, 32, 25, 15, 10, 33, 14, 11, 11, 31, 20, 22, 23, 18]",0,0.14093964
16760,"[1, 0, 17, 1, 33, 18, 26, 17, 28, 27, 22, 0, 29, 29, 20, 0, 28, 5, 8, 6, 6, 6]",0,0.14080667
23920,"[1, 0, 13, 0, 31, 0, 32, 11, 15, 9, 10, 3, 9, 5, 10, 6, 15, 3]",0,0.13879916
30973,"[1, 0, 15, 0, 19, 27, 31, 30, 1, 25, 8, 0, 24, 10, 24, 32, 17, 15, 18, 9]",0,0.1386167
17160,"[0, 0, 13, 0, 22, 28, 10, 27, 16, 33, 2, 12, 14, 3, 0, 33, 3, 31]",0,0.13852984
11253,"[0, 0, 12, 0, 29, 18, 27, 33, 32, 0, 17, 33, 3, 5, 27, 30, 9]",0,0.13827476
41973,"[1, 0, 16, 0, 0, 30, 31, 10, 11, 11, 25, 17, 28, 16, 22, 26, 27, 5, 5, 27, 18]",1,0.13778694
37262,"[0, 0, 17, 1, 21, 9, 15, 23, 19, 10, 18, 14, 32, 28, 27, 6, 18, 28, 18, 15, 25, 12]",0,0.13762958
41230,"[1, 0, 15, 0, 29, 8, 17, 9, 10, 13, 14, 3, 5, 0, 7, 31, 8, 1, 12, 17]",0,0.13667881
5355,"[0, 0, 13, 0, 23, 29, 19, 18, 11, 9, 22, 20, 31, 17, 20, 28, 14, 2]",0,0.13657382
14073,"[0, 0, 15, 0, 31, 8, 9, 29, 15, 2, 23, 3, 14, 12, 4, 25, 8, 7, 31, 23]",1,0.13645415
4871,"[0, 0, 13, 0, 3, 27, 31, 9, 32, 12, 7, 29, 13, 24, 12, 18, 25, 21]",1,0.13617419
13679,"[0, 0, 16, 0, 29, 17, 7, 10, 6, 15, 30, 7, 12, 0, 25, 33, 26, 2, 23, 28, 3]",0,0.13617347
3126,"[0, 0, 8, 0, 11, 18, 30, 8, 11, 1, 30, 5, 13]",0,0.13588136
28621,"[0, 0, 17, 0, 18, 8, 8, 17, 29, 9, 20, 31, 25, 21, 20, 1, 21, 7, 24, 23, 31, 3]",0,0.13577105
21332,"[0, 0, 13, 0, 26, 29, 9, 31, 1, 9, 4, 30, 1, 27, 25, 2, 5, 3]",0,0.13543802
39370,"[0, 0, 15, 0, 12, 32, 31, 33, 8, 25, 29, 33, 3, 3, 30, 7, 5, 11, 27, 3]",0,0.13543418
5962,"[1, 0, 18, 0, 11, 25, 32, 33, 4, 8, 1, 2, 15, 23, 18, 18, 17, 9, 2, 10, 26, 2, 33]",0,0.1353181
54,"[1, 0, 14, 0, 6, 17, 32, 31, 18, 25, 23, 3, 17, 11, 22, 13, 22, 15, 14]",0,0.13498974
2272,"[1, 0, 16, 0, 6, 28, 16, 16, 9, 17, 10, 26, 10, 12, 26, 11, 2, 28, 12, 0, 24]",0,0.13485542
29440,"[0, 0, 13, 0, 33, 30, 28, 20, 23, 18, 24, 10, 12, 12, 17, 17, 10, 20]",0,0.13473381
38205,"[0, 1, 15, 0, 16, 18, 30, 19, 28, 20, 14, 20, 2, 6, 24, 29, 6, 1, 30, 10]",0,0.13450852
30115,"[0, 1, 17, 1, 1, 30, 31, 6, 17, 24, 27, 23, 21, 12, 22, 11, 28, 27, 26, 26, 21, 21]",0,0.13445668
30032,"[0, 0, 14, 0, 13, 31, 32, 26, 21, 27, 13, 5, 22, 30, 32, 28, 13, 25, 9]",0,0.13400154
14649,"[0, 0, 12, 0, 8, 17, 17, 28, 9, 10, 10, 6, 12, 22, 24, 17, 6]",0,0.13374749
21404,"[0, 1, 18, 0, 19, 30, 29, 26, 33, 18, 8, 26, 16, 5, 23, 19, 8, 0, 22, 28, 31, 17, 5]",0,0.13371083
30826,"[0, 1, 17, 1, 14, 28, 29, 33, 20, 17, 21, 17, 19, 9, 24, 26, 27, 14, 6, 12, 16, 6]",0,0.13352096
40869,"[0, 1, 16, 0, 16, 29, 7, 14, 2, 14, 20, 3, 19, 29, 16, 7, 24, 31, 23, 10, 16]",0,0.1333921
25187,"[1, 0, 12, 0, 0, 29, 31, 30, 31, 33, 19, 20, 5, 2, 23, 23, 13]",0,0.13298939
28272,"[0, 0, 12, 0, 25, 29, 1, 0, 16, 31, 9, 26, 21, 20, 10, 30, 24]",0,0.13239741
7971,"[0, 0, 15, 1, 33, 17, 4, 33, 12, 11, 27, 1, 17, 0, 16, 13, 26, 19, 20, 10]",0,0.13204755
